date Mon Aug 15 09:21:53 am 2005
base dec  timestamps relative
internal events logged
   0.030000000    EnvSpeedEntry := 2530
   0.040000000    EnvSpeedEntry := 2540
   0.010000000    EnvSpeedEntry := 2560
   0.020000000    EnvSpeedEntry := 2580
   0.020000000    EnvSpeedEntry := 2600
   0.022541250    EnvSpeedEntry := 2620
   0.007458750    EnvSpeedEntry := 2630
   0.020000000    EnvSpeedEntry := 2670
   0.020000000    EnvSpeedEntry := 2690
   0.030000000    EnvSpeedEntry := 2710
   0.022534250    EnvSpeedEntry := 2720
   0.027465750    EnvSpeedEntry := 2740
   0.030000000    EnvSpeedEntry := 2760
   0.010000000    EnvSpeedEntry := 2780
   0.010000000    EnvSpeedEntry := 2800
   0.030000000    EnvSpeedEntry := 2810
   0.030000000    EnvSpeedEntry := 2830
   0.030000000    EnvSpeedEntry := 2850
   0.040000000    EnvSpeedEntry := 2870
   0.030000000    EnvSpeedEntry := 2890
   0.080000000    EnvSpeedEntry := 2890
   0.090000000    EnvSpeedEntry := 2900
   0.170000000    EnvSpeedEntry := 2900
   0.022540250    EnvSpeedEntry := 2940
   1.927459750    EnvTurnSignal := 1
   1.410000000    EnvSpeedEntry := 2920
   0.010000000    EnvSpeedEntry := 2900
   0.040000000    EnvSpeedEntry := 2870
   0.020000000    EnvSpeedEntry := 2800
   0.010000000    EnvSpeedEntry := 2720
   0.020000000    EnvSpeedEntry := 2690
   0.020000000    EnvSpeedEntry := 2670
   0.010000000    EnvSpeedEntry := 2650
   0.070000000    EnvSpeedEntry := 2630
   0.020000000    EnvSpeedEntry := 2580
   0.020000000    EnvSpeedEntry := 2470
   0.010000000    EnvSpeedEntry := 2360
   0.020000000    EnvSpeedEntry := 2270
   0.020000000    EnvSpeedEntry := 2180
   0.020000000    EnvSpeedEntry := 2070
   0.010000000    EnvSpeedEntry := 1970
   0.020000000    EnvSpeedEntry := 1930
   0.070000000    EnvSpeedEntry := 1910
   0.020000000    EnvSpeedEntry := 1890
   0.010000000    EnvSpeedEntry := 1860
   0.030000000    EnvSpeedEntry := 1800
   0.010000000    EnvSpeedEntry := 1710
   0.010000000    EnvSpeedEntry := 1620
   0.020000000    EnvSpeedEntry := 1530
   0.020000000    EnvSpeedEntry := 1440
   0.020000000    EnvSpeedEntry := 1350
   0.020000000    EnvSpeedEntry := 1260
   0.010000000    EnvSpeedEntry := 1010
   0.020000000    EnvSpeedEntry := 920
