date Thu Apr 15 11:36:03 am 2010
base dec  timestamps relative
internal events logged
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.198398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.207398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.212398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.217398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.222398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.226398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.231398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.236398
   0.330000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.245398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.250398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.260398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.265398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.274398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.284398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.288398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.293398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.298398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.308398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.312398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.317398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.322398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.327398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.331398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.336398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.341398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.346398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.351398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.355398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.360398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.365398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.370398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.374398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.379398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.384398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.393398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.398398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.403398
   7.480000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.403398
   0.220000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.398398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.389398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.384398
